id,lat,long,name,city,craving,tags,addresse
283,48.8482223,2.354136,Boulangerie Archibald,75005,commerce,boulangerie,"28 Rue des Fossés Saint-Bernard, 75005 Paris"
284,48.8829005,2.2996108,Le Jardin Sucré,75017,commerce,patisserie/coeur,"156 Rue de Courcelles, 75017 Paris"
285,48.8540583,2.3231838,Philippe Conticini - Paris 7,75007,commerce,patisserie,"37 Rue de Varenne, 75007 Paris"
286,,,Philippe Conticini - Paris 3,75003,commerce,patisserie,"31 RUE NOTRE DAME DE NAZARETH, 75003 Paris"
287,,,Philippe Conticini - Paris 16,75016,commerce,patisserie,"42 RUE DE L'ANNONCIATION, 75016 Paris"
294,48.8630628,2.3607602,Gramme 3,75003,table,neobistrot,"86 Rue des Archives, 75003 Paris"
295,48.8469687,2.3261043,Colorova,75006,table,neobistrot/coeur,"47 Rue de l'Abbé Grégoire, 75006 Paris"
296,48.8570675,2.3746599,Pâtisserie Emma Duvéré,75011,cafe,patisserie,"41 Rue Sedaine, 75011 Paris"
302,48.8719279,2.3661899,Sain Boulangerie,75010,commerce,boulangerie,"15 Rue Marie et Louise, 75010 Paris"
303,,,The French Bastards - Oberkampf,75011,commerce,boulangerie/patisserie,"61 Rue Oberkampf, 75011 Paris"
304,,,The French Bastards - Saint-Denis,75002,commerce,boulangerie/patisserie,"181 Rue Saint-Denis, 75002 Paris"
305,,,The French Bastards - Saint-Ferdinand,75017,commerce,boulangerie/patisserie,"35 Pl. Saint-Ferdinand, 75017 Paris"
306,48.863387,2.3724971,Fermentation Générale,75011,commerce,boulangerie,"37 Rue de la Folie Méricourt, 75011 Paris"
322,48.8315185,2.3289823,Le temps et le pain,75014,commerce,boulangerie/patisserie,"7 Rue Mouton-Duvernet, 75014 Paris"
323,48.8678568,2.3480217,Plaq,75002,commerce,patisserie/coeur/chocolatier,"4 Rue du Nil, 75002 Paris"
324,48.8672734,2.3441784,Tartelettes,75002,commerce,patisserie,"102 Rue Montmartre, 75002 Paris"
325,48.8912569,2.3379019,Atelier P1,75018,commerce,boulangerie,"157 Rue Marcadet, 75018 Paris"
326,48.880248,2.3413031,Babka Zana,75009,commerce,boulangerie/patisserie,"65 Rue Condorcet, 75009 Paris"
328,48.8639329,2.4423521,Fournil Éphémère L'Atelier,93100,commerce,boulangerie,"11 Rue de l'Église, 93100 Montreuil"
329,48.8672831,2.3853019,Elements pain bio,75020,commerce,boulangerie,"3 Rue Victor Letalle, 75020 Paris"
339,48.8851843,2.3396317,Shinya Pain Montmartre,75018,commerce,boulangerie,"41 Rue des Trois Frères, 75018 Paris"
340,48.8828041,2.3172145,Boulangerie Bacillus,75017,commerce,boulangerie/patisserie,"100 Rue des Dames, 75017 Paris"
341,,,Boulangerie Bacillus - Le Marché,75017,commerce,boulangerie/patisserie,"96 Bis Rue Lemercier, 75017 Paris"
342,48.8652663,2.366502,Dreamin man,75011,cafe,,"140 Rue Amelot, 75011 Paris"
349,48.9038525,2.3113194,La Rue Palloy Boulangerie.,92110,commerce,boulangerie/patisserie,"50 Rue Palloy, 92110 Clichy"
355,48.8849882,2.3113731,Léonie - Levis,75017,commerce,boulangerie/patisserie,"96 Rue de Lévis, 75017 Paris"
369,48.8507906,2.3813834,Mokonuts Cafe and Bakery,75011,table,neobistrot/coeur,"5 Rue Saint-Bernard, 75011 Paris"
371,48.8806074,2.3500202,Les Arlots,75010,table,brasserie,"136 Rue du Faubourg Poissonnière, 75010 Paris"
372,48.8715463,2.368177,Levantine,75010,table,orient,"36 Rue Bichat, 75010 Paris"
375,48.8697061,2.3434734,Jòia,75002,table,neobistrot,"39 Rue des Jeuneurs, 75002 Paris"
376,,,Creperie Breizh Café Paris Marais,75003,table,crepes,"109 rue vieille du temple, 75003 Paris"
379,,,Creperie Breizh Café Abbesses,75018,table,crepes,"93 Rue des Martyrs, 75018 Paris"
380,,,BREIZH Café Batignolles,75017,table,crepes,"31 Rue des Batignolles, 75017 Paris"
381,,,BREIZH Café Montorgueil,75002,table,crepes,"14 Rue des Petits Carreaux, 75002 Paris"
382,,,Breizh Café Paul Bert,75011,table,crepes,"23 Rue Paul Bert, 75011 Paris"
383,,,BREIZH Café Odéon,75006,table,crepes,"1 Rue de l'Odéon, 75006 Paris"
384,,,Breizh Café Canal Saint-Martin,75010,table,crepes,"112 Quai de Jemmapes, 75010 Paris"
391,,,La Felicità,75013,table,italien,"5 Parvis Alan Turing, 75013 Paris"
393,48.8702691,2.3794311,Tripletta Belleville,75020,table,italien,"88 Bd de Belleville, 75020 Paris"
395,48.8831097,2.341917,Bijou,75018,table,italien,"10 Rue Dancourt, 75018 Paris"
396,48.8502275,2.3820566,Jouvence,75012,table,neobistrot,"172 Bis Rue du Faubourg Saint-Antoine, 75012 Paris"
397,48.89058,2.316977,Coretta,75017,table,neobistrot,"151Bis Rue Cardinet, 75017 Paris"
399,48.855031,2.341172,Ze Kitchen Galerie,75006,table,neobistrot,"4 Rue des Grands Augustins, 75006 Paris"
400,48.8493191,2.3747656,Passerini,75012,table,neobistrot/italien,"65 Rue Traversière, 75012 Paris"
401,48.8750429,2.3445439,Abri Soba,75009,table,neobistrot/japonais,"10 Rue Saulnier, 75009 Paris"
405,48.8686439,2.3862279,Dilia,75020,table,neobistrot,"1 Rue d'Eupatoria, 75020 Paris"
409,48.8609891,2.3813876,Le Servan,75011,table,neobistrot,"32 Rue Saint-Maur, 75011 Paris"
419,48.863604,2.367232,Le Clown Bar,75011,table,neobistrot,"114 Rue Amelot, 75011 Paris"
421,48.8661334,2.3362359,Restaurant Kunitoraya,75001,table,asiatique,"1 Rue Villédo, 75001 Paris"
422,,,Kunitoraya - Udon Bistro,75001,table,asiatique,"41 Rue de Richelieu, 75001 Paris"
425,48.8561495,2.3271971,Racines des Prés,75007,table,neobistrot,"1 Rue de Gribeauval, 75007 Paris"
426,48.8816433,2.3466808,Faggio Rochechouart,75009,table,italien/coeur,"72 Rue de Rochechouart, 75009 Paris"
429,,,Faggio Panorama,75002,table,italien,"16 Passage des Panoramas, 75002 Paris"
432,48.851282,2.383292,Osteria Ferrara,75011,table,italien/neobistrot,"7 Rue du Dahomey, 75011 Paris"
433,48.8496889,2.3526883,Kitchen Ter(re),75005,table,neobistrot/coeur,"26 Bd Saint-Germain, 75005 Paris"
437,48.8530078,2.3377114,Yoshinori,75006,table,neobistrot,"18 Rue Grégoire de Tours, 75006 Paris"
438,48.8528061,2.3304876,Le Bar des Prés,75006,table,neobistrot,"25 Rue du Dragon, 75006 Paris"
439,48.8590191,2.3809707,cafe du coin,75011,table,neobistrot,"9 Rue Camille Desmoulins, 75011 Paris"
440,48.8714263,2.3417173,Racines,75002,table,neobistrot/italien,"8 Pass. des Panoramas, 75002 Paris"
442,48.8649757,2.3359041,Takara,75001,table,japonais,"14 Rue Molière, 75001 Paris"
443,48.8645163,2.3494468,Dalmata Pizza Montorgueil,75002,table,italien,"8 Rue Tiquetonne, 75002 Paris"
457,48.8603009,2.3060051,Chez L'Ami Jean,75007,table,brasserie/coeur,"27 Rue Malar, 75007 Paris"
459,48.8654493,2.3289756,Kinugawa Vendôme,75001,table,japonais,"9 Rue du Mont Thabor, 75001 Paris"
460,48.8502684,2.3186866,Aida,75007,table,japonais,"1 Rue Pierre Leroux, 75007 Paris"
462,48.8804054,2.3376223,Luz Verde,75009,table,mexicain,"24 Rue Henry Monnier, 75009 Paris"
463,48.8615186,2.3781722,BRUTOS,75011,table,neobistrot/coeur,"5 Rue du Général Renault, 75011 Paris"
464,48.8626015,2.3798916,Double Dragon,75011,table,asiatique/neobistrot,"52 Rue Saint-Maur, 75011 Paris"
