id,lat,long,name,city,craving,tags,addresse
369,48.8507906,2.3813834,Mokonuts Cafe and Bakery,75011,table,neobistrot/coeur,"5 Rue Saint-Bernard, 75011 Paris"
371,48.8806074,2.3500202,Les Arlots,75010,table,brasserie,"136 Rue du Faubourg Poissonnière, 75010 Paris"
372,48.8715463,2.368177,Levantine,75010,table,orient,"36 Rue Bichat, 75010 Paris"
375,48.8697061,2.3434734,Jòia,75002,table,neobistrot,"39 Rue des Jeuneurs, 75002 Paris"
376,48.8606169,2.3618584,Creperie Breizh Café Paris Marais,75003,table,crepes,"109 rue vieille du temple, 75003 Paris"
379,48.8842705,2.3396462,Creperie Breizh Café Abbesses,75018,table,crepes,"93 Rue des Martyrs, 75018 Paris"
380,48.8849258,2.3207793,BREIZH Café Batignolles,75017,table,crepes,"31 Rue des Batignolles, 75017 Paris"
381,48.8669006,2.3473367,BREIZH Café Montorgueil,75002,table,crepes,"14 Rue des Petits Carreaux, 75002 Paris"
382,48.8525339,2.3847257,Breizh Café Paul Bert,75011,table,crepes,"23 Rue Paul Bert, 75011 Paris"
383,48.8516101,2.3387729,BREIZH Café Odéon,75006,table,crepes,"1 Rue de l'Odéon, 75006 Paris"
384,48.8743853,2.3636484,Breizh Café Canal Saint-Martin,75010,table,crepes,"112 Quai de Jemmapes, 75010 Paris"
396,48.8502275,2.3820566,Jouvence,75012,table,neobistrot,"172 Bis Rue du Faubourg Saint-Antoine, 75012 Paris"
397,48.89058,2.316977,Coretta,75017,table,neobistrot,"151Bis Rue Cardinet, 75017 Paris"
399,48.855031,2.341172,Ze Kitchen Galerie,75006,table,neobistrot,"4 Rue des Grands Augustins, 75006 Paris"
400,48.8493191,2.3747656,Passerini,75012,table,neobistrot/italien,"65 Rue Traversière, 75012 Paris"
401,48.8750429,2.3445439,Abri Soba,75009,table,neobistrot/japonais,"10 Rue Saulnier, 75009 Paris"
405,48.8686439,2.3862279,Dilia,75020,table,neobistrot,"1 Rue d'Eupatoria, 75020 Paris"
409,48.8609891,2.3813876,Le Servan,75011,table,neobistrot,"32 Rue Saint-Maur, 75011 Paris"
419,48.863604,2.367232,Le Clown Bar,75011,table,neobistrot,"114 Rue Amelot, 75011 Paris"
421,48.8661334,2.3362359,Restaurant Kunitoraya,75001,table,asiatique,"1 Rue Villédo, 75001 Paris"
426,48.8816433,2.3466808,Faggio Rochechouart,75009,table,italien/coeur,"72 Rue de Rochechouart, 75009 Paris"
429,48.8709843,2.3416907,Faggio Panorama,75002,table,italien,"16 Passage des Panoramas, 75002 Paris"
432,48.851282,2.383292,Osteria Ferrara,75011,table,italien/neobistrot,"7 Rue du Dahomey, 75011 Paris"
433,48.8496889,2.3526883,Kitchen Ter(re),75005,table,neobistrot/coeur,"26 Bd Saint-Germain, 75005 Paris"
437,48.8530078,2.3377114,Yoshinori,75006,table,neobistrot,"18 Rue Grégoire de Tours, 75006 Paris"
438,48.8528061,2.3304876,Le Bar des Prés,75006,table,neobistrot,"25 Rue du Dragon, 75006 Paris"
439,48.8590191,2.3809707,cafe du coin,75011,table,neobistrot,"9 Rue Camille Desmoulins, 75011 Paris"
440,48.8714263,2.3417173,Racines,75002,table,neobistrot/italien,"8 Pass. des Panoramas, 75002 Paris"
442,48.8649757,2.3359041,Takara,75001,table,japonais,"14 Rue Molière, 75001 Paris"
457,48.8603009,2.3060051,Chez L'Ami Jean,75007,table,brasserie/coeur,"27 Rue Malar, 75007 Paris"
459,48.8654493,2.3289756,Kinugawa Vendôme,75001,table,japonais,"9 Rue du Mont Thabor, 75001 Paris"
460,48.8502684,2.3186866,Aida,75007,table,japonais,"1 Rue Pierre Leroux, 75007 Paris"
462,48.8804054,2.3376223,Luz Verde,75009,table,mexicain,"24 Rue Henry Monnier, 75009 Paris"
463,48.8615186,2.3781722,BRUTOS,75011,table,neobistrot/coeur,"5 Rue du Général Renault, 75011 Paris"
464,48.8626015,2.3798916,Double Dragon,75011,table,asiatique/neobistrot,"52 Rue Saint-Maur, 75011 Paris"
476,48.874196,2.3723359,Mulino Mulé,75010,table,italien,"25 Rue Sainte-Marthe, 75010 Paris"
477,48.858096,2.367436,Soon Grill,75003,table,japonais,"78 Rue des Tournelles, 75003 Paris"
479,48.8651318,2.3691085,Le Rigmarole,75011,table,neobistrot,"10 Rue du Grand Prieuré, 75011 Paris"
480,48.87304,2.344001,SUMiBi KAZ,75009,table,japonais,"11 Rue de Montyon, 75009 Paris"
484,48.8732428,2.350105,Restaurant eels,75010,table,neobistrot,"27 Rue d'Hauteville, 75010 Paris"
487,48.8672796,2.2976485,Restaurant Substance,75016,table,etoile/coeur/gastronomique,"18 Rue de Chaillot, 75016 Paris"
488,48.858151,2.388381,Yard,75011,table,neobistrot,"6 Rue de Mont-Louis, 75011 Paris"
489,48.8903736,2.3328924,Ētsi - le bistro,75018,table,neobistrot/grec,"23 Rue Eugène Carrière, 75018 Paris"
491,48.879344,2.321114,Mandoobar,75008,table,asiatique,"7 Rue d'Édimbourg, 75008 Paris"
500,48.8527401,2.3849339,Le Chardenoux Cyril Lignac,75011,table,neobistrot,"1 Rue Jules Vallès, 75011 Paris"
511,48.8709479,2.3416459,Adar,75002,table,neobistrot/traiteur,"49 Pass. des Panoramas, 75002 Paris"
512,48.8725686,2.3445239,Pastore,75009,table,neobistrot/italien/coeur,"26 Rue Bergère, 75009 Paris"
520,48.8524313,2.3849962,Bistrot Paul Bert,75011,table,brasserie,"18 Rue Paul Bert, 75011 Paris"
522,48.8670442,2.3345176,Kanadé,75001,table,japonais,"8 Rue de Ventadour, 75001 Paris"
523,48.8584072,2.3849879,Café Mirabelle,75011,cafe,nan,"16 Rue la Vacquerie, 75011 Paris"
524,48.8711998,2.35184,TANGUY,75010,table,crepes/coeur,"15 Rue de l'Échiquier, 75010 Paris"
